route,point,territory,house,route_id
100,Dhunot,Bogura-2,Mr Brothers,64
100,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,65
100,Ranisankail,Thakurgaon,Moulovi Brothers,66
100,Shotibari,Rangpur,"Shaireen Enterprise, Rangpur",67
1001,Bijoynagar,B. Baria,ADL B.BARIA,68
1001,Masterbari,Mymensingh 2,Noor Sons,69
1002,Bijoynagar,B. Baria,ADL B.BARIA,70
1002,Masterbari,Mymensingh 2,Noor Sons,71
1003,Bijoynagar,B. Baria,ADL B.BARIA,72
1003,Masterbari,Mymensingh 2,Noor Sons,73
1004,Bijoynagar,B. Baria,ADL B.BARIA,74
1004,Masterbari,Mymensingh 2,Noor Sons,75
1005,Bijoynagar,B. Baria,ADL B.BARIA,76
1005,Masterbari,Mymensingh 2,Noor Sons,77
1006,Bijoynagar,B. Baria,ADL B.BARIA,78
1006,Masterbari,Mymensingh 2,Noor Sons,79
1007,Bijoynagar,B. Baria,ADL B.BARIA,80
1007,Masterbari,Mymensingh 2,Noor Sons,81
1008,Masterbari,Mymensingh 2,Noor Sons,82
1009,Masterbari,Mymensingh 2,Noor Sons,83
101,Nabiganj (DE),Munshiganj,The Jamal & Co - Narayanganj,84
101,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,85
101,Sutrapur,Sutrapur,Sales Promotion Service,86
101,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,87
101,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",88
101,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",89
101,Sector-4,Uttara,Azahar Trading Ltd.,90
101,Joydebpur,Joydebpur,M/S. A.M.I & Company,91
101,Kaptai,Bayezid,Zawad Enterprise,92
101,Banshkhali,Patiya,MAQ Distribution,93
101,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",94
101,Senbag,Feni-2,Rokeya & Sons,95
101,Laxmipur,Laxmipur,M/S Sanjib Mazumder,96
101,B. Baria,B. Baria,ADL B.BARIA,97
101,Habiganj,Habiganj,ADL Habiganj,98
101,Moulvibazar (SYL),Moulvibazar,MBKB Ltd (Moulvibazar),99
101,Mymensingh,Mymensingh 1,Noor Sons,100
101,Netrokona,Netrokona,Shashi Mohan Roy,101
101,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,102
101,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",103
101,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,104
101,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",105
101,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,106
101,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,107
101,Jashore Sadar,Jashore-1,M/S Azizur Rahman,108
101,Dumuria,Khulna Metro-1,Rafiq Enterprise,109
101,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,110
101,Chuadanga,Chuadanga,Desh Trade Link,111
101,Jhenaidah,Jhenaidah,Sanaullah Traders,112
101,Kushtia,Kushtia,Joarder Traders,113
101,Magura,Magura,Akram Enterprise,114
101,Barguna,Barguna,"Hajee & Sons, Barguna",115
101,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,116
101,Bhola,Bhola,A. Rahman & Sons,117
101,Patuakhali,Patuakhali,Hajee & Sons,118
101,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,119
